version,name,aa,ppg,srm,attenuation,temperature_range,description,alcohol_tolerance,flocculation
fermentable_grain,CaraMunich - 47°L (Castle),,1.034,47,,,"An excellent all-purpose caramel malt. Round, sweet character with toasty overtones and deep gold to copper color, depending on usage. Used extensively in amber and dark Belgian ales. We like it for amber and dark lagers as well. ",,
fermentable_grain,CaraMunich I - 34°L (Weyermann),,1.034,34,,,"Deep gold to pale copper color and sweet malty flavor and aroma. Use 5-10% for enhanced body and malt character in Oktobefest, Altbier and bock; 1-5% for other amber beers.",,
fermentable_grain,CaraMunich II - 46°L (Weyermann),,1.034,46,,,"Deep gold to copper color and mildly toasty sweet flavor and aroma. Use 5-10% for enhanced body and malt character in Oktobefest, Altbier and bock; 1-5% for other amber beers.",,
fermentable_grain,CaraMunich III - 57°L (Weyermann),,1.034,56,,,"Copper color and moderately toasty sweet flavor and aroma. Use 5-10% for enhanced body and malt character in Oktobefest, Altbier and bock; 1-5% for other amber beers.",,
fermentable_grain,CaraPils/Dextrine – 1.5°L (Briess),,1.036,1.5,,,"Briess Carapils is a trademarked dextrin malt. 1-5% adds foam stability, body, and palate fullness to beer and significantly enhances head retention. Although it appears darker than pale malt, it has a clear, glassy endosperm and does not contribute significantly to beer color or flavor. ",,
fermentable_grain,CaraRed - 20°L (Weyermann),,1.035,20,,,"Provides fuller body and imparts a deep, saturated red color, particularly to red ales and lagers, Scottish ales, bocks and altbiers.",,
fermentable_grain,CaraStan - 35°L (Bairds),,1.034,35,,,Bairds Carastan is a British crystal malt with a caramel/toffee flavor and hints of toasted bread.,,
fermentable_grain,"CaraStan, Light - 15°L (Bairds)",,1.035,15,,,Similar to Bairds Carastan but kilned at a lower temperature. Pleasant toffee flavor.,,
fermentable_grain,CaraVienne – 20°L (Castle),,1.035,21,,,"An excellent all-purpose caramel malt. Round, sweet character and golden to light copper color, depending on usage. Ideal for Belgian ales. ",,
fermentable_grain,CaraWheat - 45°L (Weyermann),,1.034,45.5,,,Malted wheat that has been steeped and kilned to create a caramel malt. Emphasizes wheat aroma and flavor and adds color; use up to 15% for dunkelweizen and hefeweizen.,,
fermentable_grain,Cherrywood Smoked Malt – 2°L (Briess),,1.037,2,,,"This unique malt is produced in small batches and smoked over cherry wood, resulting in an enzyme-active malt that contributes an intense yet smooth and sweet smoke flavor and aroma. Recommended for Bamberg-style Rauchbier and other smoked beers, porters, Oktoberfests, and Scottish ale. At 5-10% of the grist it will contribute a noticeable smoke character in lighter styles; at 30-60% it will contribute a pronounced smoke character to Bamberg-style lagers, Rauchbock, and porters. ",,
fermentable_grain,"Chocolate Malt, Pale – 215°L (Fawcett)",,1.034,215,,,"Less highly-roasted than regular chocolate malt. Adds color and a mild chocolate/coffee flavor to dark milds, stouts, and porters. ",,
fermentable_grain,Chocolate Malt - 350°L (Briess),,1.028,350,,,"Chocolate malt will give your beer a warm, nutty, chocolate-like flavor. Just a few ounces in a batch will impart a slight brown color. Use up to a pound in porters and stouts and dark lagers.",,
fermentable_grain,Chocolate Malt - 412°L (Simpsons),,1.034,412.5,,,"A classic malt for stout, porter, and brown ale. Provides color for a wide variety of dark beer styles. At small percentages gives a brown color and mild roasted flavor, larger amounts for strong bittersweet chocolate flavor and near black color.",,
fermentable_grain,Chocolate Rye - 239°L (Weyermann),,1.031,239,,,"Use 1-5% to add color and a subtle roasty character to Dunkelweizen, Roggenbier, or other specialty ales.",,
fermentable_grain,Chocolate Wheat - 400°L (Weyermann),,1.033,400,,,"Malted wheat that has been steeped and roasted to create a very dark color. Adds deep color and roasted character. Use 1 to 5% for altbier, dunkelweizen, stout and porter.",,
fermentable_grain,Coffee Malt - 150°L (Simpsons),,1.029,150,,,"As the name suggests the first smell of this grain brings out a rich coffee flavor that will add complexity to any dark ale. ",,
fermentable_grain,Crystal Rye - 75°L (Fawcett),,1.034,75,,,"Will lend a dry, licorice, toffee flavor. Great for use in complex, multi-grain brews where that extra special something is required.",,
fermentable_grain,"Crystal, Dark - 75°L (Simpsons)",,1.034,75,,,"Contributes a strong reddish hue to milds, brown ales, and other dark beers. The long kilning of this malt imparts a roasty edge on top of the malty sweetness of a crystal malt.",,
fermentable_grain,"Crystal, Extra Dark - 160°L (Simpsons)",,1.033,160,,,Very dark English crystal malt with deep amber color and burnt sugar and dark fruit flavors.,,
fermentable_grain,"Crystal, Medium - 55°L (Simpsons)",,1.034,55,,,Versatile English crystal malt imparts a rich gold to copper-red color and caramel flavor and increases foam stability.,,
fermentable_grain,Distiller's Malt - 1.75°L (Canada Malting),,1.038,1.75,,,"At a rate of up to 100%, Canada Malting’s distiller’s malt is an excellent enzyme, amino nitrogen and starch source for a partial to full distiller’s mash. The well-modified malt, coupled with a gentle kilning cycle, produces high enzyme levels, which can be used to break down other starch sources.",,
fermentable_grain,ESB Pale Malt - 3.5°L (Gambrinus),,1.037,3.5,,,A British-style pale-ale malt made from Canadian 2-row barley. Slightly sweeter and richer malt flavor than standard 2-row.,,
fermentable_grain,Extra Special Malt - 130°L (Briess),,1.033,130,,,"Provides distinctive flavors (burnt sugar, woody, prunes) associated with darker, high gravity beers like Doppelbock. Can be used to enhance standard or lighter gravity beers to provide a richer, more complex flavor profile. ",,
fermentable_grain,Flaked Barley - 1°L,,1.032,1,,,"Grainy taste and significantly increased head retention, creaminess, and body. Can make up to 20% of grist for classic dry Irish stouts. ",,
fermentable_grain,Flaked Maize – 1°L,,1.039,1,,,"Mild, neutral flavor in small amounts, moderate sweetness at higher percentages. Low rates sometimes used in English bitters. Can make up to 40% of grist for American lager styles. ",,
fermentable_grain,Flaked Oatmeal – 1°L,,1.032,1,,,Use up to 30% of grist total for a distinct full-bodied flavor and creamy texture. ,,
fermentable_grain,Flaked Rice – 1°L,,1.038,1,,,Lightens the body and increases crispness of a beer. Commonly used in American and Japanese lagers. Can be used for up to 40% of the grist. ,,
fermentable_grain,Flaked Rye - 2°L,,1.029,2,,,"Lends dry, crisp character and strong rye flavor. Use 5-10%. ",,
fermentable_grain,Flaked Wheat – 2°L,,1.036,2,,,Greatly increases head retention and body at as low as 8% of the grist; can make up to 40% of grist. ,,
fermentable_grain,Golden Promise - 1.85°L (Simpsons),,1.038,1.85,,,"Malt from a traditional barley variety grown in Scotland. Golden Promise produces a mellow wort, with a sweet, clean flavor. This base malt is a must for authentic Scottish ales, great for English styles as well.",,
fermentable_grain,Halcyon - 2.6°L (Fawcett),,1.038,2.6,,,"A floor-malted barley malt from a single barley variety (Halcyon), and produced by a centuries-old, family-owned maltster. Halcyon Pale Ale Malt is considered to be one of the last remaining ""traditional"" English Pale Malts. Adds a degree of biscuit flavor to the beer. Brighter and lighter in flavor than Pearl, Halcyon is a great malt for the production of Real Ales. It tends to produce a less sweet wort than Maris Otter. All the base malts from Thomas Fawcett & Sons are grown by local, family farmers near the maltings area. ",,
fermentable_grain,Honey Malt - 25°L (Gambrinus),,1.034,25,,,Honey malt is Gambrinus Malting's best description for the unique European malt known as brumalt. Mash up to 10% for intense malt sweetness.,,
fermentable_grain,Kiln Coffee – 110°L (Franco-Belges),,1.029,110,,,"This unique malt imparts a pleasant coffee flavor. Use it in stouts, porters, brown ales, and Scottish ales. ",,
fermentable_grain,Kölsch Malt - 4.5°L (Schill),,1.037,4.5,,,"From a maltster co-op based in Osthofen, near Köln, this malt is used by some of the brewpubs in that city to make their trademark ale. Kölsch malt has a light, sweet and extremely ""German"" flavor and aroma with a little bit of biscuit character. We've had good results using a multi-temp step mash with Kölsch malt, but a single infusion — although not traditional — works as well. Style nerds please take note: the maltster rates the color of this malt at 9 EBC. If you use 100% Kölsch malt for the grist of a Kölsch, you will be within spec according to Eric Warner's Kölsch (7-14 EBC, or 3.5-7 SRM — p. 51), but definitely on the dark end of the BJCP guidelines. If you are brewing for a competition, you may want to incorporate some pils or wheat malt into the grain bill to dilute the color.",,
fermentable_grain,Maris Otter – 4°L (Crisp),,1.038,4,,,"This variety has long been a favorite of English brewers for its rich flavor and very forgiving brewing performance. Since this malt is fully modified, a protein rest is not necessary. This is a very popular base malt used in pale ales, bitters, porters, IPAs, stouts, barleywines and Scottish ales. Excellent yields and efficient run off make it the malt of choice for producing English style beers.",,
fermentable_grain,"Maris Otter, Floor Malted - 4.5°L (Warminster)",,1.038,4.5,,,"This is a special craft malt from Britain's oldest working floor-malting facility. Still made by hand using many of the same methods as they were 200 years ago, Warminster's Maris Otter is a complex and bready malt. Use in any British style and many American styles for unparalleled depth of flavor.",,
fermentable_grain,Melanoidin - 27°L (Weyermann),,1.034,27,,,"Adds red color and intensifies malt flavor and aroma. Mash up to 20% in amber and dark lagers, red ales, Scottish ales, bock and doppelbock.",,
fermentable_grain,Midnight Wheat - 550°L (Briess),,1.025,550,,,A very dark roasted malt that provides body with very smooth and mild roasted flavor along with intense color. This malt won't add the bitterness or astringency of other roasted malts like Chocolate or Black Malt. Made from Wisconsin wheat.,,
fermentable_grain,Munich - 8.3°L (Best Malz),,1.035,8.3,,,"High-kilned lager malt contributes an intense malt flavor and amber color. Use up to 100% for alt, dunkel, and bock; smaller percentages in pale or amber lagers and ales for enhanced malt character.",,
fermentable_grain,Munich - 10°L (Briess),,1.035,10,,,"Munich-style malt that contributes a very robust, malty flavor when used at 5-15%. Well suited for contributing additional malty flavor in all beer styles.",,
fermentable_grain,"Munich, Bonlander - 10°L (Briess)",,1.035,10,,,"A bready, sweet American Munich malt, made in the style of the classic European maltsters.  Great for porters, brown ales, Oktoberfests, and Altbiers.",,
fermentable_grain,"Munich, Dark - 15°L (Schill)",,1.035,15.5,,,"Darker than regular Munich malt, this will add color and a strong malt flavor to beer. Great for dark lagers. Mix this base malt with other base malts for a complex malt flavor and deeper color.",,
fermentable_grain,Oak Smoked Pale Wheat Malt - 3.1°L (Weyermann),,1.037,3.1,,,"This is an heirloom malt known for its use in Gratzer/Grodziskie, a smoked wheat beer once popular in Northern Germany and Poland.",,
fermentable_grain,Oat Malt – 4°L (Fawcett),,1.037,4,,,"There are not many malt companies that produce an oat malt — we know of only Thomas Fawcett and Sons. We love oat malt for the texture and warm, grainy flavor that it adds to stouts, porters, other robust British ales. ",,
fermentable_grain,"Oats, Golden Naked - 10°L (Simpsons)",,1.037,10,,,"This unique product has a sweet berry-nut flavor. Used at a rate of 4-15% to add a deep golden hue, light caramel flavors, and a creamy, satiny finish.",,
fermentable_grain,Optic Malt - 2.75°L (Fawcett),,1.038,2.7,,,Optic is a barley variety widely grown in the United Kingdom. We have been impressed with its highly aromatic qualities. Good for use as a base malt in British styles.,,
fermentable_grain,Pale Ale Malt - 3.1°L (Canada Malting),,1.036,3.1,,,A well-modified malt that is kilned to a darker color than standard 2-row. Has a slight biscuity flavor.,,
fermentable_grain,Pale Ale Malt – 3.2°L (Castle),,1.037,3.2,,,"Fully modified pale ale malt from Belgian two-row barley, easily converted by a single temperature mash. It is a good all-purpose pale malt, and great in Belgian ales. ",,
fermentable_grain,Pale Ale Malt - 3.5°L (Briess),,1.036,3.5,,,"This malt is a less expensive alternative to British or Belgian pale ale malt. Slightly darker version of the Briess 2-row, comparable performance suited for any ale. Suitable when rich, malty flavors and additional color is desired. ",,
fermentable_grain,Pale Ale Malt - 3.5°L (Rahr),,1.036,3.5,,,An economical domestic base malt for English and American ale styles. Kilned a bit higher than Rahr standard 2-row (3-4°L) for deeper color and flavor.,,
fermentable_grain,Pearl Malt - 2.1°L (Fawcett),,1.038,2.1,,,"A floor-malted barley malt from a single barley variety (Pearl), and produced by a centuries-old, family-owned maltster. Fawcett's primary barley variety used by several of England's largest and finest breweries. As a base malt, Pearl lends a dry breadiness. Recommended for traditional Pale Ales. ",,
fermentable_grain,Peat Smoked Malt - 2.5°L (Simpsons),,1.034,2.5,,,"Phenol level 12-24. While the malt is in the kiln, peat moss outside the kiln is gently smoked over slow burning coals allowing its vapors to drift above the malt. Peat malt is used in the distilling of Scotland's finest whiskies, but has found favor with homebrewers and craft brewers in smoked beers. Adds intense iodine and seaweed smoke phenol character - a little goes a long way!",,
fermentable_grain,Pilsen - 1.7°L (Best Malz),,1.037,1.7,,,"Pilsen malt for German Pilsner and other European styles. This malt is produced from high-quality two-row spring barley grown in the best German and European barley regions. Low protein levels, high extract content, light color and high enzymatic activity.",,
fermentable_grain,Pilsen - 1.7°L (Franco-Belges),,1.036,1.7,,,"Light in color and low in total protein, this Pilsen malt is produced from the finest European two-row barley. This malt is extremely well modified and can easily be mashed with a single-temperature infusion. Excellent malty character suitable for many German and Belgian styles.",,
fermentable_grain,Pilsner – 1.6°L (Castle),,1.036,1.6,,,"An excellent base malt for pale lager, Belgian ales, and wheat beers. Pale color, low in protein, and results in a remarkably clean and light finished product.",,
fermentable_grain,Pilsner - 1.6°L (Global Malt),,1.037,1.6,,,"Bright, clean, full-bodied character. Ideal for any European lager style and indispensable for pale lagers like Helles or pils. Suitable for single infusion malt, but many folks swear by the protein rest!",,
fermentable_grain,Pilsner - 1.75°L (Rahr),,1.037,1.75,,,"high-quality, economical pilsner malt from Rahr Malting in Shakopee, MN. A bit lighter in color and lower in total protein than Rahr's standard 2-row (#G001). Can make up to 100% of the grist for a very pale beer. Great for lagers.",,
fermentable_grain,"Pilsner, German - 1.6°L (Saltzgitter)",,1.037,1.6,,,"The finest European pilsner malt available to homebrewers.  Lagers made from this malt have a bright, clean, full bodied character.",,
fermentable_grain,"Pilsner, Bohemian - 1.9°L (Weyermann)",,1.037,1.9,,,"Czech-grown 2-row spring barley, processed specifically to impart full body, golden-blond color, and complex maltiness. Use for up to 100% of the grist for all lagers (especially Bohemian Pilsners) or Belgian ales.",,
fermentable_grain,"Pilsner, Bohemian Floor Malted - 1.8°L (Weyermann)",,1.037,1.8,,,This is an exceptional Pilsner malt made in the traditional Bohemian fashion.  The result is a slightly under-modefied malt with a unique and complex flavor.,,
fermentable_grain,Rice Hulls,,1.000,0,,,"Lautering aid that will not affect color, flavor, body, or gravity of beer. Use up to 5% for wheat beers or high-protein mashes.",,
fermentable_grain,Roasted Barley - 550°L (Crisp),,1.025,550,,,"Gives black color with ruby highlights and distinct, astringent roasted bitter flavor. Mandatory for dry Irish stouts. Use very small percentages to add color to Scottish ales and red ales.",,
fermentable_grain,Roasted Wheat - 12°L (Dingemanns),,1.038,12,,,"(Tarwe Mout Roost 27) - Dingemans Roasted Wheat is a slightly roasted wheat that will lend nutty, bread-like flavors.",,
fermentable_grain,"Roasted Wheat, Light - 300°L (Briess)",,1.026,300,,,"Use this grain when you want a sweet, coffee-like, grainy flavor and red to deep brown color. A little goes a long way. Roasted barley imparts the flavors associated with Irish Stout.",,
fermentable_grain,Rye Malt - 3.5°L (Weyermann),,1.029,3.5,,,"Contributes a spicy rye flavor; use up to 50% for rye beers, also makes an interesting addition to smoked beers and wheat beers.",,
fermentable_grain,Rye Malt - 3.7°L (Briess),,1.029,3.7,,,"Lends a spicy rye flavor to roggenbiers, ryePAs, and more. Fully modified, rice hulls recommended if used for more than 20% of the mash.",,
fermentable_grain,Special B – 147°L (Castle),,1.031,147,,,"An extremely dark caramel malt with a sharp, almost toffee like flavor. It will impart a heavy caramel taste and is often credited with the raisin-like flavors of some Belgian ales. ",,
fermentable_grain,Special Roast – 50°L (Briess),,1.034,50,,,"Contributes a deep golden to brown color and toasty, biscuity, sour, and tangy flavors. Mash up to 10% for brown ale, porter, and other dark ales. ",,
fermentable_grain,Stout Malt - 1.75°L (Malting Company of Ireland),,1.037,1.75,,,"Stout Malt is made with plump, round kernels with very low protein and high extract.  Low kilning temps produce a very pale wort with high enzyme levels.",,
fermentable_grain,Victory – 28°L (Briess),,1.035,28,,,"A trademark malt from a great American maltster. Use up to 15% in a mash. Gives deep gold to light brown color and biscuity, toasty, baking bread, and nutty flavors. Excellent for brown ales",,
fermentable_grain,Vienna - 2.7°L (Franco-Belges),,1.035,2.7,,,"This malt will reinforce the color and aroma of all beer styles, particularly Eastern European and German style beers. Warm and slightly bready flavor.",,
fermentable_grain,Vienna - 3.1°L (Schill),,1.035,3.1,,,"Lager malt kilned to a slightly darker color than Pilsner malt. Use up to 30% in a pale beer or up to 100% in an Oktoberfest or Vienna lager to achieve a dry, slightly toasty malt flavor.",,
fermentable_grain,"Wheat Malt, Red - 2.5°L (Rahr)",,1.037,2.5,,,"Produced from North American grown wheat. Red wheat is a smaller, harder kernel that some brewers prefer in their wheat beers. ",,
fermentable_grain,"Wheat Malt, White - 3°L (Rahr)",,1.037,3,,,A domestic wheat malt; can be used for up to 50% of a grain bill.,,
fermentable_grain,"Wheat, Dark - 7.5°L (Weyermann)",,1.037,7.5,,,"Use up to 50% for dark wheat beers, weizenbocks, or in smaller proportions to add body and head retention to other dark ales. Protein rest recommended.",,
fermentable_grain,"Wheat, Pale - 1.5°L (Weyermann)",,1.037,1.5,,,"Use up to 80% for wheat beers, or in smaller proprtions to add body and head retention to Kolsch, altbier, and other ales. Protein rest recommended.",,
fermentable_grain,"Wheat, Torrified - 1°L (Briess)",,1.036,1,,,"Torrified Wheat has been heat treated to break the cellular structure, allowing more rapid hydration and malt enzymes to more completely attack the starches and protein. Torrified Wheat can be used in place of raw wheat when making Belgian-style White and Wit beers. Advantages over raw wheat include normal conversion time and higher yield. Add to the mash along with the malt. Mash as usual.",,
fermentable_grain,"Wheat, Unmalted - 1°L (Rahr)",,1.036,1,,,"Unmalted Wheat is for use in producing authentic Belgian styles, most notably Wit and Lambics. A protein rest is highly recommended if used in mashing.",,
,-----Dry Malt Extracts-----,,0.000,0,,,-,,
fermentable_dme,Briess - CBW® Pilsen Light DME,,1.044,2,,,"Subtle Malty - Base Malt, Carapils® Malt",,
fermentable_dme,Briess - CBW® Golden Light DME,,1.044,4,,,"Malty - Base Malt, Carapils® Malt",,
fermentable_dme,Briess - CBW® Bavarian Wheat DME,,1.044,3,,,"Neutral, Malty - Base Malt, Wheat Malt",,
fermentable_dme,Briess - CBW® Sparkling Amber DME,,1.044,10,,,"Rich Malty, Biscuity - Base Malt, Caramel 60L Malt, Munich Malt",,
fermentable_dme,Briess - CBW® Traditional Dark DME,,1.044,30,,,"Sweet, Intense Malty - Base Malt, Caramel 60L Malt, Munich Malt, Black Malt",,
fermentable_dme,Briess - Maltoferm®  A-6000 Black Malt DME,,1.019,3500,,,Color Adjustment; Neutral Flavor At Low Usage Levels - Blend Of Dark Roasted Malts,,
fermentable_dme,Briess - Organic Maltoferm® 10000 Light Malt DME,,1.044,4,,,Malty - Organic Base Malt,,
fermentable_dme,Muntons - Plain Extra Light DME,,1.046,3.5,,,"Palest color English DME in the Munton's line. Ferments very dry. Use for pale ale, English summer ale, and bitter.",,
fermentable_dme,Muntons - Plain Light DME,,1.046,5,,,"Light-colored English DME, a bit darker than Extra-Light. Use for pale ale, IPA, and bitter.",,
fermentable_dme,Muntons - Plain Wheat DME,,1.046,4.5,,,"English DME made with pale malt and wheat. Use for English summer ales, wheat beers, or to add body to low-gravity bitter and mild.",,
fermentable_dme,Muntons - Plain Amber DME,,1.045,10.1,,,"Amber colored English dry malt extract, ferments dry with a malty flavor. Good for Scottish ales, ESB, milds, and brown ales.",,
fermentable_dme,Muntons - Plain Dark DME,,1.044,30.5,,,"Deeply colored English malt extract, ferments dry with a malty flavor. Good for porters, stout, and brown ales.",,
fermentable_dme,Muntons - Plain Extra Dark DME,,1.044,30.5,,,Very dark English malt extract with a full flavor. Good for porters or stout.,,
,-----Adjuncts-----,,0.000,0,,,-,,
fermentable_sugar,"Brown Sugar, Light - 20°L",,1.044,20,,,Brown sugar is a sucrose sugar product with a distinctive brown color due to the presence of molasses. It is either an unrefined or partially refined soft sugar consisting of sugar crystals with some residual molasses content.  Dark brown sugar contains 6.5% molasses.,,
fermentable_sugar,"Brown Sugar, Dark - 40°L",,1.044,40,,,Brown sugar is a sucrose sugar product with a distinctive brown color due to the presence of molasses. It is either an unrefined or partially refined soft sugar consisting of sugar crystals with some residual molasses content. Light brown sugar contains 3.5% molasses.,,
fermentable_sugar,"Candi Sugar, Blonde (Soft) - 5°L",,1.038,5,,,"Use this soft candi sugar in all of your Belgian beers to impart a wonderfully soft and well-rounded flavor that you have never had in your beers before! A by-product of the rock candi and candi syrup making processes, soft sugar is made up of tiny crystals of beet sugar that have been removed from the syrup by way of a centrifuge. These crystals have a more intense flavor than the traditional sugar rocks American brewers are used to seeing. This is the same candi sugar used by the famous Rochefort brewery in Belgium. Soft and delicate candi syrup flavor and light color. ",,
