name,description
Chocolate Malt - 412°L (Simpsons),"A classic malt for stout, porter, and brown ale. Provides color for a wide variety of dark beer styles. At small percentages gives a brown color and mild roasted flavor, larger amounts for strong bittersweet chocolate flavor and near black color."
Chocolate Rye - 239°L (Weyermann),"Use 1-5% to add color and a subtle roasty character to Dunkelweizen, Roggenbier, or other specialty ales."
Chocolate Wheat - 400°L (Weyermann),"Malted wheat that has been steeped and roasted to create a very dark color. Adds deep color and roasted character. Use 1 to 5% for altbier, dunkelweizen, stout and porter."
Coffee Malt - 150°L (Simpsons),"As the name suggests the first smell of this grain brings out a rich coffee flavor that will add complexity to any dark ale.
"
Crystal Rye - 75°L (Fawcett),"Will lend a dry, licorice, toffee flavor. Great for use in complex, multi-grain brews where that extra special something is required."
"Crystal, Dark - 75°L (Simpsons)","Contributes a strong reddish hue to milds, brown ales, and other dark beers. The long kilning of this malt imparts a roasty edge on top of the malty sweetness of a crystal malt."
"Crystal, Extra Dark - 160°L (Simpsons)",Very dark English crystal malt with deep amber color and burnt sugar and dark fruit flavors.
"Crystal, Medium - 55°L (Simpsons)",Versatile English crystal malt imparts a rich gold to copper-red color and caramel flavor and increases foam stability.
Distiller's Malt - 1.75°L (Canada Malting),"At a rate of up to 100%, Canada Malting’s distiller’s malt is an excellent enzyme, amino nitrogen and starch source for a partial to full distiller’s mash. The well-modified malt, coupled with a gentle kilning cycle, produces high enzyme levels, which can be used to break down other starch sources."
ESB Pale Malt - 3.5°L (Gambrinus),A British-style pale-ale malt made from Canadian 2-row barley. Slightly sweeter and richer malt flavor than standard 2-row.
Extra Special Malt - 130°L (Briess),"Provides distinctive flavors (burnt sugar, woody, prunes) associated with darker, high gravity beers like Doppelbock. Can be used to enhance standard or lighter gravity beers to provide a richer, more complex flavor profile.
"
Flaked Barley - 1°L,"Grainy taste and significantly increased head retention, creaminess, and body. Can make up to 20% of grist for classic dry Irish stouts. "
Flaked Maize – 1°L,"Mild, neutral flavor in small amounts, moderate sweetness at higher percentages. Low rates sometimes used in English bitters. Can make up to 40% of grist for American lager styles. "
Flaked Oatmeal – 1°L,Use up to 30% of grist total for a distinct full-bodied flavor and creamy texture.
Flaked Rice – 1°L,Lightens the body and increases crispness of a beer. Commonly used in American and Japanese lagers. Can be used for up to 40% of the grist.
Flaked Rye - 2°L,"Lends dry, crisp character and strong rye flavor. Use 5-10%. "
Flaked Wheat – 2°L,Greatly increases head retention and body at as low as 8% of the grist; can make up to 40% of grist.
Golden Promise - 1.85°L (Simpsons),"Malt from a traditional barley variety grown in Scotland. Golden Promise produces a mellow wort, with a sweet, clean flavor. This base malt is a must for authentic Scottish ales, great for English styles as well."
Halcyon - 2.6°L (Fawcett),"A floor-malted barley malt from a single barley variety (Halcyon), and produced by a centuries-old, family-owned maltster. Halcyon Pale Ale Malt is considered to be one of the last remaining ""traditional"" English Pale Malts. Adds a degree of biscuit flavor to the beer. Brighter and lighter in flavor than Pearl, Halcyon is a great malt for the production of Real Ales. It tends to produce a less sweet wort than Maris Otter. All the base malts from Thomas Fawcett & Sons are grown by local, family farmers near the maltings area.
"
Honey Malt - 25°L (Gambrinus),Honey malt is Gambrinus Malting's best description for the unique European malt known as brumalt. Mash up to 10% for intense malt sweetness.
Kiln Coffee – 110°L (Franco-Belges),"This unique malt imparts a pleasant coffee flavor. Use it in stouts, porters, brown ales, and Scottish ales. "
Kölsch Malt - 4.5°L (Schill),"From a maltster co-op based in Osthofen, near Köln, this malt is used by some of the brewpubs in that city to make their trademark ale. Kölsch malt has a light, sweet and extremely ""German"" flavor and aroma with a little bit of biscuit character. We've had good results using a multi-temp step mash with Kölsch malt, but a single infusion — although not traditional — works as well. Style nerds please take note: the maltster rates the color of this malt at 9 EBC. If you use 100% Kölsch malt for the grist of a Kölsch, you will be within spec according to Eric Warner's Kölsch (7-14 EBC, or 3.5-7 SRM — p. 51), but definitely on the dark end of the BJCP guidelines. If you are brewing for a competition, you may want to incorporate some pils or wheat malt into the grain bill to dilute the color."
Maris Otter – 4°L (Crisp),"This variety has long been a favorite of English brewers for its rich flavor and very forgiving brewing performance. Since this malt is fully modified, a protein rest is not necessary. This is a very popular base malt used in pale ales, bitters, porters, IPAs, stouts, barleywines and Scottish ales. Excellent yields and efficient run off make it the malt of choice for producing English style beers.
"
"Maris Otter, Floor Malted - 4.5°L (Warminster)","This is a special craft malt from Britain's oldest working floor-malting facility. Still made by hand using many of the same methods as they were 200 years ago, Warminster's Maris Otter is a complex and bready malt. Use in any British style and many American styles for unparalleled depth of flavor."
Melanoidin - 27°L (Weyermann),"Adds red color and intensifies malt flavor and aroma. Mash up to 20% in amber and dark lagers, red ales, Scottish ales, bock and doppelbock."
Midnight Wheat - 550°L (Briess),A very dark roasted malt that provides body with very smooth and mild roasted flavor along with intense color. This malt won't add the bitterness or astringency of other roasted malts like Chocolate or Black Malt. Made from Wisconsin wheat.
Munich - 8.3°L (Best Malz),"High-kilned lager malt contributes an intense malt flavor and amber color. Use up to 100% for alt, dunkel, and bock; smaller percentages in pale or amber lagers and ales for enhanced malt character."
Munich - 10°L (Briess),"Munich-style malt that contributes a very robust, malty flavor when used at 5-15%. Well suited for contributing additional malty flavor in all beer styles."
"Munich, Bonlander - 10°L (Briess)","A bready, sweet American Munich malt, made in the style of the classic European maltsters.  Great for porters, brown ales, Oktoberfests, and Altbiers."
"Munich, Dark - 15°L (Schill)","Darker than regular Munich malt, this will add color and a strong malt flavor to beer. Great for dark lagers. Mix this base malt with other base malts for a complex malt flavor and deeper color."
Oak Smoked Pale Wheat Malt - 3.1°L (Weyermann),"This is an heirloom malt known for its use in Gratzer/Grodziskie, a smoked wheat beer once popular in Northern Germany and Poland."
Oat Malt – 4°L (Fawcett),"There are not many malt companies that produce an oat malt — we know of only Thomas Fawcett and Sons. We love oat malt for the texture and warm, grainy flavor that it adds to stouts, porters, other robust British ales. "
"Oats, Golden Naked - 10°L (Simpsons)","This unique product has a sweet berry-nut flavor. Used at a rate of 4-15% to add a deep golden hue, light caramel flavors, and a creamy, satiny finish."
Optic Malt - 2.75°L (Fawcett),Optic is a barley variety widely grown in the United Kingdom. We have been impressed with its highly aromatic qualities. Good for use as a base malt in British styles.
Pale Ale Malt - 3.1°L (Canada Malting),A well-modified malt that is kilned to a darker color than standard 2-row. Has a slight biscuity flavor.
Pale Ale Malt – 3.2°L (Castle),"Fully modified pale ale malt from Belgian two-row barley, easily converted by a single temperature mash. It is a good all-purpose pale malt, and great in Belgian ales. "
Pale Ale Malt - 3.5°L (Briess),"This malt is a less expensive alternative to British or Belgian pale ale malt. Slightly darker version of the Briess 2-row, comparable performance suited for any ale. Suitable when rich, malty flavors and additional color is desired. "
Pale Ale Malt - 3.5°L (Rahr),An economical domestic base malt for English and American ale styles. Kilned a bit higher than Rahr standard 2-row (3-4°L) for deeper color and flavor.
Pearl Malt - 2.1°L (Fawcett),"A floor-malted barley malt from a single barley variety (Pearl), and produced by a centuries-old, family-owned maltster. Fawcett's primary barley variety used by several of England's largest and finest breweries. As a base malt, Pearl lends a dry breadiness. Recommended for traditional Pale Ales.
"
Peat Smoked Malt - 2.5°L (Simpsons),"Phenol level 12-24. While the malt is in the kiln, peat moss outside the kiln is gently smoked over slow burning coals allowing its vapors to drift above the malt. Peat malt is used in the distilling of Scotland's finest whiskies, but has found favor with homebrewers and craft brewers in smoked beers. Adds intense iodine and seaweed smoke phenol character - a little goes a long way!"
Pilsen - 1.7°L (Best Malz),"Pilsen malt for German Pilsner and other European styles. This malt is produced from high-quality two-row spring barley grown in the best German and European barley regions. Low protein levels, high extract content, light color and high enzymatic activity."
Pilsen - 1.7°L (Franco-Belges),"Light in color and low in total protein, this Pilsen malt is produced from the finest European two-row barley. This malt is extremely well modified and can easily be mashed with a single-temperature infusion. Excellent malty character suitable for many German and Belgian styles."
Pilsner – 1.6°L (Castle),"An excellent base malt for pale lager, Belgian ales, and wheat beers. Pale color, low in protein, and results in a remarkably clean and light finished product."
Pilsner - 1.6°L (Global Malt),"Bright, clean, full-bodied character. Ideal for any European lager style and indispensable for pale lagers like Helles or pils. Suitable for single infusion malt, but many folks swear by the protein rest!"
Pilsner - 1.75°L (Rahr),"high-quality, economical pilsner malt from Rahr Malting in Shakopee, MN. A bit lighter in color and lower in total protein than Rahr's standard 2-row (#G001). Can make up to 100% of the grist for a very pale beer. Great for lagers."
"Pilsner, German - 1.6°L (Saltzgitter)","The finest European pilsner malt available to homebrewers.  Lagers made from this malt have a bright, clean, full bodied character."
"Pilsner, Bohemian - 1.9°L (Weyermann)","Czech-grown 2-row spring barley, processed specifically to impart full body, golden-blond color, and complex maltiness. Use for up to 100% of the grist for all lagers (especially Bohemian Pilsners) or Belgian ales."
"Pilsner, Bohemian Floor Malted - 1.8°L (Weyermann)",This is an exceptional Pilsner malt made in the traditional Bohemian fashion.  The result is a slightly under-modefied malt with a unique and complex flavor.
Rice Hulls,"Lautering aid that will not affect color, flavor, body, or gravity of beer. Use up to 5% for wheat beers or high-protein mashes."
Roasted Barley - 550°L (Crisp),"Gives black color with ruby highlights and distinct, astringent roasted bitter flavor. Mandatory for dry Irish stouts. Use very small percentages to add color to Scottish ales and red ales."
Roasted Wheat - 12°L (Dingemanns),"(Tarwe Mout Roost 27) - Dingemans Roasted Wheat is a slightly roasted wheat that will lend nutty, bread-like flavors.
"
"Roasted Wheat, Light - 300°L (Briess)","Use this grain when you want a sweet, coffee-like, grainy flavor and red to deep brown color. A little goes a long way. Roasted barley imparts the flavors associated with Irish Stout.
"
Rye Malt - 3.5°L (Weyermann),"Contributes a spicy rye flavor; use up to 50% for rye beers, also makes an interesting addition to smoked beers and wheat beers."
Rye Malt - 3.7°L (Briess),"Lends a spicy rye flavor to roggenbiers, ryePAs, and more. Fully modified, rice hulls recommended if used for more than 20% of the mash."
Special B – 147°L (Castle),"An extremely dark caramel malt with a sharp, almost toffee like flavor. It will impart a heavy caramel taste and is often credited with the raisin-like flavors of some Belgian ales. "
Special Roast – 50°L (Briess),"Contributes a deep golden to brown color and toasty, biscuity, sour, and tangy flavors. Mash up to 10% for brown ale, porter, and other dark ales. "
Stout Malt - 1.75°L (Malting Company of Ireland),"Stout Malt is made with plump, round kernels with very low protein and high extract.  Low kilning temps produce a very pale wort with high enzyme levels."
Victory – 28°L (Briess),"A trademark malt from a great American maltster. Use up to 15% in a mash. Gives deep gold to light brown color and biscuity, toasty, baking bread, and nutty flavors. Excellent for brown ales. "
Vienna - 2.7°L (Franco-Belges),"This malt will reinforce the color and aroma of all beer styles, particularly Eastern European and German style beers. Warm and slightly bready flavor."
Vienna - 3.1°L (Schill),"Lager malt kilned to a slightly darker color than Pilsner malt. Use up to 30% in a pale beer or up to 100% in an Oktoberfest or Vienna lager to achieve a dry, slightly toasty malt flavor."
"Wheat Malt, Red - 2.5°L (Rahr)","Produced from North American grown wheat. Red wheat is a smaller, harder kernel that some brewers prefer in their wheat beers.
"
"Wheat Malt, White - 3°L (Rahr)",A domestic wheat malt; can be used for up to 50% of a grain bill.
"Wheat, Dark - 7.5°L (Weyermann)","Use up to 50% for dark wheat beers, weizenbocks, or in smaller proportions to add body and head retention to other dark ales. Protein rest recommended."
"Wheat, Pale - 1.5°L (Weyermann)","Use up to 80% for wheat beers, or in smaller proprtions to add body and head retention to Kolsch, altbier, and other ales. Protein rest recommended."
"Wheat, Torrified - 1°L (Briess)","Torrified Wheat has been heat treated to break the cellular structure, allowing more rapid hydration and malt enzymes to more completely attack the starches and protein. Torrified Wheat can be used in place of raw wheat when making Belgian-style White and Wit beers. Advantages over raw wheat include normal conversion time and higher yield. Add to the mash along with the malt. Mash as usual."
"Wheat, Unmalted - 1°L (Rahr)","Unmalted Wheat is for use in producing authentic Belgian styles, most notably Wit and Lambics. A protein rest is highly recommended if used in mashing."
Briess - CBW® Pilsen Light DME,"Subtle Malty - Base Malt, Carapils® Malt"
Briess - CBW® Golden Light DME,"Malty - Base Malt, Carapils® Malt"
Briess - CBW® Bavarian Wheat DME,"Neutral, Malty - Base Malt, Wheat Malt"
Briess - CBW® Sparkling Amber DME,"Rich Malty, Biscuity - Base Malt, Caramel 60L Malt, Munich Malt"
Briess - CBW® Traditional Dark DME,"Sweet, Intense Malty - Base Malt, Caramel 60L Malt, Munich Malt, Black Malt"
Briess - Maltoferm®  A-6000 Black Malt DME,Color Adjustment; Neutral Flavor At Low Usage Levels - Blend Of Dark Roasted Malts
Briess - Organic Maltoferm® 10000 Light Malt DME,Malty - Organic Base Malt
Muntons - Plain Extra Light DME,"Palest color English DME in the Munton's line. Ferments very dry. Use for pale ale, English summer ale, and bitter."
Muntons - Plain Light DME,"Light-colored English DME, a bit darker than Extra-Light. Use for pale ale, IPA, and bitter."
Muntons - Plain Wheat DME,"English DME made with pale malt and wheat. Use for English summer ales, wheat beers, or to add body to low-gravity bitter and mild."
Muntons - Plain Amber DME,"Amber colored English dry malt extract, ferments dry with a malty flavor. Good for Scottish ales, ESB, milds, and brown ales."
Muntons - Plain Dark DME,"Deeply colored English malt extract, ferments dry with a malty flavor. Good for porters, stout, and brown ales."
Muntons - Plain Extra Dark DME,Very dark English malt extract with a full flavor. Good for porters or stout.
"Brown Sugar, Light - 20°L",Brown sugar is a sucrose sugar product with a distinctive brown color due to the presence of molasses. It is either an unrefined or partially refined soft sugar consisting of sugar crystals with some residual molasses content.  Dark brown sugar contains 6.5% molasses.
"Brown Sugar, Dark - 40°L",Brown sugar is a sucrose sugar product with a distinctive brown color due to the presence of molasses. It is either an unrefined or partially refined soft sugar consisting of sugar crystals with some residual molasses content. Light brown sugar contains 3.5% molasses.
"Candi Sugar, Blonde (Soft) - 5°L","Use this soft candi sugar in all of your Belgian beers to impart a wonderfully soft and well-rounded flavor that you have never had in your beers before! A by-product of the rock candi and candi syrup making processes, soft sugar is made up of tiny crystals of beet sugar that have been removed from the syrup by way of a centrifuge. These crystals have a more intense flavor than the traditional sugar rocks American brewers are used to seeing. This is the same candi sugar used by the famous Rochefort brewery in Belgium. Soft and delicate candi syrup flavor and light color.

"
"Candi Sugar, Brown (Soft) - 40°L","Use this soft candi sugar in all of your Belgian beers to impart a wonderfully soft and well-rounded flavor that you have never had in your beers before! A by-product of the rock candi and candi syrup making processes, soft sugar is made up of tiny crystals of beet sugar that have been removed from the syrup by way of a centrifuge. These crystals have a more intense flavor than the traditional sugar rocks American brewers are used to seeing. This is the same candi sugar used by the famous Rochefort brewery in Belgium. Dark brown Soft Candi Sugar is full of dark candi syrup flavor but has a higher sugar content and is easier for some breweries to handle over a liquid sugar.

"
"Candi Sugar, Clear (Hard) - 0°L","Imported from Belgium, this sugar is refined from sugar beets, and is 100% fermentable. 0°L."
"Candi Sugar, Dark (Hard) - 275°L","Imported from Belgium, this sugar is refined from sugar beets, and is 100% fermentable. Rated at 275°L; actual color contribution is lower."
"Candi Syrup, Clear - 0°L","A premium clear Belgian candi syrup made from beet sugar. Provides clean honey-like flavor to light Belgian Ales. Great for Tripels, Golden Strong ales, or anytime you're looking for increased drinkability and complexity"
"Candi Syrup, Amber - 45°L","This premium amber Belgian candi syrup is perfect for amber and brown Belgian ales. The syrup is made from beet sugar and has flavors of toffee, vanilla, and toasted bread."
"Candi Syrup, Dark - 90°L","D-90 is a versatile dark candi syrup made with pure beet sugar. This syrup creates an unmistakable and subtle chocolate back-palate, toffee, and toasted bread flavors."
"Candi Syrup, D2 - 180°L","This premium extra dark Belgian candi syrup is made from beet sugar and date sugar and has deep flavors of fresh ground coffee, dark fruit, and toasted bread. Perfect for use in dark Belgian ales. 180 SRM"
Cane Sugar - 0°L,Sucrose
Corn Sugar - 0°L,Dextrose
"Honey, Basswood - 2°L",Basswood is an ornamental shade tree that produces cream-colored flowers known for their nectar. Basswood honey has a fresh taste similar to green ripening fruit and a distinctive lingering flavor.
"Honey, Buckwheat - 8°L",Buckwheat honey is pungent in flavor with molasses and malty tones and a lingering aftertaste. Buckwheat honey is also very dark in color.
"Honey, Clover - 1°L",Clover honey is light in color with a floral flavor and a pleasant mild taste.
"Honey, Dandelion - 2°L",Dandelion honey is rare and original becuuse it is harvested in late spring/early summer and is made from the nectar of dandelion flowers. It is yellow in color like the flower and is very sweet.
"Honey, Orange Blossom - 2°L","Orange blossom honey is mild, with citrus-orange notes."
"Honey, White Sage - 3°L","Delicate and light with a predominant sweet, clover-like flavor and an elegant floral aftertaste."
"Honey, Wildflower - 4°L",Light amber in color and is very sweet and robust. This wildflower is produced by placing hives in prairies and grasslands where bees have access to a wide variety of wild plants. The honey is naturally blended by the bees as they visit many different nectar sources.
Lactose - 0°L,"Lactose is a non-fermentable sugar used to sweeten Brown ales and Stouts. It gives a beer a creamy texture, or ""milky"" flavor as it is called in some countries. "
Lyle's Golden Syrup - 0°L,
Maltodextrine - 0°L,"Maltodextrine is used largely in low gravity beers, and is a non-fermentable sugar added to the boil (up to 8 ounces in a 5 gallon batch) to add body and mouth-feel to the beer. Maltodextrine does not produce any flavors, and does not add alcohol to your beer."
Maple Syrup - 35°L,"Maple syrup is a syrup usually made from the xylem sap of sugar maple, red maple, or black maple trees, although it can also be made from other maple species such as the bigleaf maple."
"Molasses, Black Strap - 80°L","Molasses is a viscous by-product of the processing of sugar cane, grapes or sugar beets into sugar."
"Molasses, Full Flavor - 80°L","Molasses is a viscous by-product of the processing of sugar cane, grapes or sugar beets into sugar."
"Molasses, Mild Flavor - 80°L","Molasses is a viscous by-product of the processing of sugar cane, grapes or sugar beets into sugar."
Rice Syrup Solids - 0°L,"Rice Syrup Solids are used to add alcohol and lighten the body of beers. You add them to the boil at the same time as your malt extract. This is the ingredient used in many American lagers, such as the ""King"" of beers. "
Treacle - 100°L,"Treacle is any syrup made during the refining of sugar and is defined as "" uncrystallized syrup produced in refining sugar""."
Turbinado - 10°L,Turbinado sugar is a raw sugar that is obtained or crystallized from the initial pressing of sugar cane.
Mott's Original 100% Apple Juice - 2°L,"100% juice. 100% yum. Mott’s juices offer refreshing taste in a convenient assortment of sizes. Enjoy the family size bottle at home or pack some of our 6.75 fl oz boxes or 8 fl oz bottles for kiddies on the go. Whatever flavor you choose, your family gets at least half a cup of fruit in every drink. So go ahead and try them all."
Mott's Original Natural 100% Apple Juice - 4°L,"100% juice. 100% yum. Mott’s juices offer refreshing taste in a convenient assortment of sizes. Enjoy the family size bottle at home or pack some of our 6.75 fl oz boxes or 8 fl oz bottles for kiddies on the go. Whatever flavor you choose, your family gets at least half a cup of fruit in every drink. So go ahead and try them all."
Hops,Flavor Profile
Admiral,Known for its bittering potential.
Aged Debittered Hops,Used in brewing Lambics
Ahtanum,"Floral, citrus, sharp, and piney."
Amarillo,"A flowery, citrus-like aroma with medium bittering value that is gaining acceptance as a substitute for Cascade due to its hardy nature."
Apollo,Strong grapefruit
Aurora,European aroma
Belma,"very orange, slight grapefruit, tropical (but not mango/guava, more like pineapple), strawberry, and melon"
Bramling Cross,"Quite mild, fruity currant aroma."
Bravo,Pleasant fruity and floral aroma
Brewer's Gold,Bittering hop with neutral aroma character.
Bullion,A rich hop primarily used for bittering. Intense blackcurrant aroma.
Cascade (Aregentina),Different than US grown Cascades with more of a spicy flavor and lemony aroma.
Cascade (New Zealand),"Similar to US Cascade, has floral, citrus grapefruit character."
Cascade (U.S.),"Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor."
